,corruption,level,method,acc,ll
0,gaussian_noise,1,SM 1000,0.67146,-1.4015906
1,shot_noise,1,SM 1000,0.67028,-1.4094156
2,impulse_noise,1,SM 1000,0.6185,-1.6728506
3,defocus_blur,1,SM 1000,0.66096,-1.453932
4,glass_blur,1,SM 1000,0.64054,-1.548922
5,motion_blur,1,SM 1000,0.72202,-1.1663991
6,zoom_blur,1,SM 1000,0.67814,-1.3608956
7,snow,1,SM 1000,0.63152,-1.6022943
8,frost,1,SM 1000,0.65302,-1.5056806
9,fog,1,SM 1000,0.71404,-1.1915998
10,brightness,1,SM 1000,0.72998,-1.1255587
11,contrast,1,SM 1000,0.72454,-1.1492715
12,elastic_transform,1,SM 1000,0.68114,-1.3545269
13,pixelate,1,SM 1000,0.72112,-1.1685724
14,jpeg_compression,1,SM 1000,0.69344,-1.2943599
15,gaussian_blur,1,SM 1000,0.71958,-1.1719309
16,gaussian_noise,2,SM 1000,0.61782,-1.6789827
17,shot_noise,2,SM 1000,0.61084,-1.7146484
18,impulse_noise,2,SM 1000,0.55334,-2.0217469
19,defocus_blur,2,SM 1000,0.59006,-1.8277987
20,glass_blur,2,SM 1000,0.53544,-2.1145241
21,motion_blur,2,SM 1000,0.70002,-1.265851
22,zoom_blur,2,SM 1000,0.64822,-1.5059203
23,snow,2,SM 1000,0.53776,-2.150217
24,frost,2,SM 1000,0.55794,-2.0526013
25,fog,2,SM 1000,0.70622,-1.227289
26,brightness,2,SM 1000,0.72114,-1.1692107
27,contrast,2,SM 1000,0.71722,-1.176447
28,elastic_transform,2,SM 1000,0.50936,-2.4314556
29,pixelate,2,SM 1000,0.70796,-1.2305658
30,jpeg_compression,2,SM 1000,0.6685,-1.4094671
31,gaussian_blur,2,SM 1000,0.58876,-1.8249722
32,gaussian_noise,3,SM 1000,0.52826,-2.1795554
33,shot_noise,3,SM 1000,0.53376,-2.1610053
34,impulse_noise,3,SM 1000,0.49972,-2.347631
35,defocus_blur,3,SM 1000,0.43272,-2.7726786
36,glass_blur,3,SM 1000,0.33962,-3.3971431
37,motion_blur,3,SM 1000,0.65576,-1.4702115
38,zoom_blur,3,SM 1000,0.62916,-1.6029999
39,snow,3,SM 1000,0.52752,-2.2034235
40,frost,3,SM 1000,0.47846,-2.54303
41,fog,3,SM 1000,0.69086,-1.2948521
42,brightness,3,SM 1000,0.70604,-1.2397145
43,contrast,3,SM 1000,0.70468,-1.2339956
44,elastic_transform,3,SM 1000,0.67574,-1.3847783
45,pixelate,3,SM 1000,0.65026,-1.5036334
46,jpeg_compression,3,SM 1000,0.65002,-1.500869
47,gaussian_blur,3,SM 1000,0.4265,-2.810686
48,gaussian_noise,4,SM 1000,0.4054,-2.9652028
49,shot_noise,4,SM 1000,0.39228,-3.069665
50,impulse_noise,4,SM 1000,0.3715,-3.2231867
51,defocus_blur,4,SM 1000,0.31524,-3.5942087
52,glass_blur,4,SM 1000,0.26532,-3.9681196
53,motion_blur,4,SM 1000,0.58896,-1.8278686
54,zoom_blur,4,SM 1000,0.60014,-1.7491693
55,snow,4,SM 1000,0.44258,-2.7360325
56,frost,4,SM 1000,0.46522,-2.6267543
57,fog,4,SM 1000,0.6757,-1.3697205
58,brightness,4,SM 1000,0.6844,-1.3420707
59,contrast,4,SM 1000,0.66274,-1.4448315
60,elastic_transform,4,SM 1000,0.62926,-1.6257912
61,pixelate,4,SM 1000,0.51524,-2.2307456
62,jpeg_compression,4,SM 1000,0.5892,-1.8181417
63,gaussian_blur,4,SM 1000,0.30256,-3.7304387
64,gaussian_noise,5,SM 1000,0.24512,-4.2184863
65,shot_noise,5,SM 1000,0.29232,-3.8318856
66,impulse_noise,5,SM 1000,0.2356,-4.3280196
67,defocus_blur,5,SM 1000,0.2245,-4.3656363
68,glass_blur,5,SM 1000,0.1624,-4.920878
69,motion_blur,5,SM 1000,0.5337,-2.131607
70,zoom_blur,5,SM 1000,0.57436,-1.8891338
71,snow,5,SM 1000,0.44182,-2.7590506
72,frost,5,SM 1000,0.41264,-2.9939218
73,fog,5,SM 1000,0.63486,-1.5865432
74,brightness,5,SM 1000,0.65346,-1.4881551
75,contrast,5,SM 1000,0.5438,-2.0837302
76,elastic_transform,5,SM 1000,0.47922,-2.5054772
77,pixelate,5,SM 1000,0.42542,-2.8112378
78,jpeg_compression,5,SM 1000,0.49822,-2.3365512
79,gaussian_blur,5,SM 1000,0.14926,-5.1369143
80,gaussian_noise,1,SM 5000,0.67592,-1.3837057
81,shot_noise,1,SM 5000,0.67354,-1.3893856
82,impulse_noise,1,SM 5000,0.6212,-1.6538928
83,defocus_blur,1,SM 5000,0.66696,-1.426611
84,glass_blur,1,SM 5000,0.64604,-1.5157287
85,motion_blur,1,SM 5000,0.7264,-1.1478628
86,zoom_blur,1,SM 5000,0.68352,-1.337114
87,snow,1,SM 5000,0.63636,-1.579138
88,frost,1,SM 5000,0.65766,-1.4875187
89,fog,1,SM 5000,0.71692,-1.1733129
90,brightness,1,SM 5000,0.73282,-1.1109476
91,contrast,1,SM 5000,0.72744,-1.1328989
92,elastic_transform,1,SM 5000,0.68588,-1.3337641
93,pixelate,1,SM 5000,0.72386,-1.1515459
94,jpeg_compression,1,SM 5000,0.69666,-1.2744489
95,gaussian_blur,1,SM 5000,0.72344,-1.154867
96,gaussian_noise,2,SM 5000,0.62202,-1.656131
97,shot_noise,2,SM 5000,0.61468,-1.6905833
98,impulse_noise,2,SM 5000,0.55736,-1.9987237
99,defocus_blur,2,SM 5000,0.59584,-1.7961054
100,glass_blur,2,SM 5000,0.54458,-2.067459
101,motion_blur,2,SM 5000,0.7054,-1.2425653
102,zoom_blur,2,SM 5000,0.65366,-1.4759903
103,snow,2,SM 5000,0.54072,-2.1201034
104,frost,2,SM 5000,0.56132,-2.0259318
105,fog,2,SM 5000,0.7107,-1.2100198
106,brightness,2,SM 5000,0.72312,-1.15381
107,contrast,2,SM 5000,0.7209,-1.1595091
108,elastic_transform,2,SM 5000,0.51468,-2.3936322
109,pixelate,2,SM 5000,0.71004,-1.2113185
110,jpeg_compression,2,SM 5000,0.67278,-1.3870561
111,gaussian_blur,2,SM 5000,0.59434,-1.7915771
112,gaussian_noise,3,SM 5000,0.53258,-2.1509044
113,shot_noise,3,SM 5000,0.53822,-2.133069
114,impulse_noise,3,SM 5000,0.50364,-2.3256645
115,defocus_blur,3,SM 5000,0.43838,-2.730457
116,glass_blur,3,SM 5000,0.34778,-3.3364263
117,motion_blur,3,SM 5000,0.66152,-1.4382476
118,zoom_blur,3,SM 5000,0.63442,-1.5704662
119,snow,3,SM 5000,0.53386,-2.1696415
120,frost,3,SM 5000,0.4815,-2.5124803
121,fog,3,SM 5000,0.69492,-1.2745545
122,brightness,3,SM 5000,0.70928,-1.2228959
123,contrast,3,SM 5000,0.70828,-1.2162963
124,elastic_transform,3,SM 5000,0.67956,-1.3581684
125,pixelate,3,SM 5000,0.6547,-1.4759412
126,jpeg_compression,3,SM 5000,0.65474,-1.4783643
127,gaussian_blur,3,SM 5000,0.43246,-2.7613368
128,gaussian_noise,4,SM 5000,0.41216,-2.9298508
129,shot_noise,4,SM 5000,0.39708,-3.0361493
130,impulse_noise,4,SM 5000,0.3746,-3.2010834
131,defocus_blur,4,SM 5000,0.3218,-3.5494075
132,glass_blur,4,SM 5000,0.27312,-3.907391
133,motion_blur,4,SM 5000,0.597,-1.7805917
134,zoom_blur,4,SM 5000,0.60762,-1.7145996
135,snow,4,SM 5000,0.44764,-2.6953943
136,frost,4,SM 5000,0.47094,-2.5951896
137,fog,4,SM 5000,0.68028,-1.3505604
138,brightness,4,SM 5000,0.68874,-1.3229178
139,contrast,4,SM 5000,0.6667,-1.4265181
140,elastic_transform,4,SM 5000,0.63456,-1.5890794
141,pixelate,4,SM 5000,0.52212,-2.1866128
142,jpeg_compression,4,SM 5000,0.59546,-1.7944821
143,gaussian_blur,4,SM 5000,0.30742,-3.6880224
144,gaussian_noise,5,SM 5000,0.24806,-4.18192
145,shot_noise,5,SM 5000,0.29728,-3.79774
146,impulse_noise,5,SM 5000,0.2371,-4.3042235
147,defocus_blur,5,SM 5000,0.22756,-4.322284
148,glass_blur,5,SM 5000,0.16702,-4.869547
149,motion_blur,5,SM 5000,0.54272,-2.0749779
150,zoom_blur,5,SM 5000,0.58262,-1.8508586
151,snow,5,SM 5000,0.44556,-2.7235317
152,frost,5,SM 5000,0.41644,-2.9615343
153,fog,5,SM 5000,0.6385,-1.5658078
154,brightness,5,SM 5000,0.6585,-1.4647796
155,contrast,5,SM 5000,0.54552,-2.065659
156,elastic_transform,5,SM 5000,0.48594,-2.4525144
157,pixelate,5,SM 5000,0.43372,-2.7606962
158,jpeg_compression,5,SM 5000,0.50214,-2.3140678
159,gaussian_blur,5,SM 5000,0.15124,-5.112431
160,gaussian_noise,1,SM 10000,0.67636,-1.3790869
161,shot_noise,1,SM 10000,0.67518,-1.3842237
162,impulse_noise,1,SM 10000,0.6228,-1.6468339
163,defocus_blur,1,SM 10000,0.66826,-1.4207162
164,glass_blur,1,SM 10000,0.64776,-1.5079588
165,motion_blur,1,SM 10000,0.7265,-1.1438353
166,zoom_blur,1,SM 10000,0.68504,-1.3315912
167,snow,1,SM 10000,0.63802,-1.5726213
168,frost,1,SM 10000,0.65904,-1.4820968
169,fog,1,SM 10000,0.71724,-1.1706687
170,brightness,1,SM 10000,0.73302,-1.1071123
171,contrast,1,SM 10000,0.72814,-1.1292201
172,elastic_transform,1,SM 10000,0.68636,-1.329788
173,pixelate,1,SM 10000,0.7249,-1.1471195
174,jpeg_compression,1,SM 10000,0.69672,-1.2702277
175,gaussian_blur,1,SM 10000,0.72442,-1.1501698
176,gaussian_noise,2,SM 10000,0.62248,-1.6501472
177,shot_noise,2,SM 10000,0.61628,-1.6834725
178,impulse_noise,2,SM 10000,0.55826,-1.9900665
179,defocus_blur,2,SM 10000,0.5966,-1.7885019
180,glass_blur,2,SM 10000,0.54624,-2.0550692
181,motion_blur,2,SM 10000,0.70644,-1.2373756
182,zoom_blur,2,SM 10000,0.65508,-1.4695219
183,snow,2,SM 10000,0.54256,-2.1130984
184,frost,2,SM 10000,0.56258,-2.0187738
185,fog,2,SM 10000,0.71178,-1.2074281
186,brightness,2,SM 10000,0.72412,-1.1498909
187,contrast,2,SM 10000,0.72138,-1.1561308
188,elastic_transform,2,SM 10000,0.51434,-2.3867636
189,pixelate,2,SM 10000,0.71246,-1.206117
190,jpeg_compression,2,SM 10000,0.67284,-1.381676
191,gaussian_blur,2,SM 10000,0.59628,-1.7836921
192,gaussian_noise,3,SM 10000,0.5334,-2.1428843
